Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C2, C3, C4, C5, C6, C7, C8, C9",0805,10,4.7u,
"C11, C12, C13, C14, C15, C16",0603,6,100n,
D1,D_SMA,1,SMAJ5.0A,
"D10, D11, D12, D2, D3, D4, D5, D6, D7, D8, D9",0603,11,LED,
F1,1206,1,Polyfuse,
J1,PinHeader_2x07_P1.27mm_Vertical,1,Conn_ST_STDC14,
J2,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
J3,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
"J4, J5, J6",PinHeader_1x03_P2.54mm_Vertical,3,Conn_01x03_Pin,
"R1, R2, R3, R4, R5",0603,5,100,
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R6, R7, R8, R9",0603,13,5.1k,
"SW1, SW2, SW3",SW_SPST_PTS647_Sx38,3,SW_Push,
U1,LQFP-48_7x7mm_P0.5mm,1,STM32G0B1CBTx,
U2,SOT-23-5,1,AP2127K-3.3,
U3,SOT-23-5,1,TPS60403DBV,
U4,SOT-23-6,1,USBLC6-2SC6,
