Designator,Mid X,Mid Y,Rotation,Layer
C1,205.5,-41.75,180.0,bottom
C10,197.96,-33.4125,270.0,bottom
C11,198.4,-53.75,270.0,bottom
C12,204.4,-53.75,270.0,bottom
C13,210.4,-53.75,270.0,bottom
C14,216.5,-45.75,180.0,bottom
C15,216.5,-42.75,180.0,bottom
C16,216.5,-44.26,180.0,bottom
C2,205.5,-39.75,180.0,bottom
C3,217.0,-47.75,180.0,bottom
C4,209.0,-41.0875,270.0,top
C5,194.775,-37.975,90.0,top
C6,197.29375,-37.975,90.0,bottom
C7,199.29375,-37.975,90.0,bottom
C8,201.5,-38.0,270.0,top
C9,195.46,-33.4125,270.0,bottom
D1,229.0,-36.5,0.0,top
D10,197.0,-45.0,0.0,top
D11,197.0,-47.0,0.0,top
D12,197.0,-43.0,180.0,top
D2,215.3,-55.25,90.0,top
D3,217.3,-55.25,90.0,top
D4,219.3,-55.25,90.0,top
D5,221.3,-55.25,90.0,top
D6,224.3,-55.25,90.0,top
D7,226.3,-55.25,90.0,top
D8,228.3,-55.25,90.0,top
D9,230.3,-55.25,90.0,top
F1,228.0,-33.5,180.0,top
J1,218.54,-30.635,270.0,top
J2,236.18,-44.1,90.0,top
J3,228.505,-30.5,270.0,top
J4,207.985,-46.0,270.0,top
J5,197.96,-30.4125,90.0,top
J6,208.46,-30.4125,90.0,top
R1,218.645,-34.6725,270.0,top
R10,219.3,-55.25,90.0,bottom
R11,221.3,-55.25,90.0,bottom
R12,224.3,-55.25,90.0,bottom
R13,226.3,-55.25,90.0,bottom
R14,228.3,-55.25,90.0,bottom
R15,230.3,-55.25,90.0,bottom
R16,197.0,-45.0,180.0,bottom
R17,197.0,-47.0,180.0,bottom
R18,197.0,-43.0,0.0,bottom
R2,220.54,-34.6725,270.0,top
R3,222.54,-34.6725,270.0,top
R4,214.645,-34.6725,270.0,top
R5,216.645,-34.6725,270.0,top
R6,229.18,-40.6,90.0,top
R7,229.18,-47.6,270.0,top
R8,215.3,-55.25,90.0,bottom
R9,217.3,-55.25,90.0,bottom
SW1,198.4,-53.27,270.0,top
SW2,204.4,-53.25,270.0,top
SW3,210.4,-53.25,270.0,top
U1,220.5,-45.5,270.0,top
U2,205.5,-41.0875,180.0,top
U3,198.275,-37.975,0.0,top
U4,229.18,-44.1,0.0,top
